Rack,Source,Rack,Destination,Volume,Tool
1,D1,2,B11,10,TS_50
1,D5,2,B11,10,TS_50
1,A5,2,C11,10,TS_50
1,B2,2,C11,10,TS_50
1,C1,2,C11,10,TS_50
1,C4,2,C11,10,TS_50
1,D2,2,C11,10,TS_50
1,D6,2,C11,10,TS_50
1,A4,2,D11,10,TS_50
1,B2,2,D11,10,TS_50
1,C1,2,D11,10,TS_50
1,C4,2,D11,10,TS_50
1,D3,2,D11,10,TS_50
1,D6,2,D11,10,TS_50
1,A5,2,E11,10,TS_50
1,B3,2,E11,10,TS_50
1,C1,2,E11,10,TS_50
1,C4,2,E11,10,TS_50
1,D2,2,E11,10,TS_50
1,D7,2,E11,10,TS_50
1,A4,2,F11,10,TS_50
1,B3,2,F11,10,TS_50
1,B6,2,F11,10,TS_50
1,C5,2,F11,10,TS_50
1,D3,2,F11,10,TS_50
1,D6,2,F11,10,TS_50
1,A5,2,G11,10,TS_50
1,B2,2,G11,10,TS_50
1,B6,2,G11,10,TS_50
1,C5,2,G11,10,TS_50
1,D3,2,G11,10,TS_50
1,D6,2,G11,10,TS_50
1,A1,1,A1,10,TS_50
1,A1,1,A2,10,TS_50
1,A1,1,A3,10,TS_50
1,A1,1,A4,10,TS_50
1,A1,1,A5,10,TS_50
1,A1,1,A6,10,TS_50
1,A1,1,A7,10,TS_50
1,A1,1,A8,10,TS_50
1,A1,1,A9,10,TS_50
1,A1,1,A10,10,TS_50
1,A1,1,A11,10,TS_50
1,A1,1,A12,10,TS_50
1,A1,1,B1,10,TS_50
1,A1,1,C1,10,TS_50
1,A1,1,D1,10,TS_50
1,A1,1,E1,10,TS_50
1,A1,1,F1,10,TS_50
1,A1,1,G1,10,TS_50
1,A1,1,B12,10,TS_50
1,A1,1,C12,10,TS_50
1,A1,1,D12,10,TS_50
1,A1,1,E12,10,TS_50
1,A1,1,F12,10,TS_50
1,A1,1,G12,10,TS_50
1,A1,1,B12,10,TS_50
1,A1,1,H2,10,TS_50
